string,string,string,string
boxno,sn,carno,creattime
LFB7201709230010,1PQ1733000536,32001606,2017/9/23 13:09
LFB7201709230010,1PQ1733000758,32002236,2017/9/23 13:09
LFB7201709230010,1PQ1733000816,32001569,2017/9/23 13:09
LFB7201709230010,1PQ1733000909,32001613,2017/9/23 13:09
LFB7201709230010,1PQ1733001134,32001618,2017/9/23 13:09
LFB7201709230010,1PQ1733001140,32001624,2017/9/23 13:09
LFB7201709230010,1PQ1733001154,32001589,2017/9/23 13:09
LFB7201709230010,1PQ1733001158,32001616,2017/9/23 13:09
LFB7201709230010,1PQ1733001288,32001603,2017/9/23 13:09
LFB7201709230010,1PQ1733001561,32001619,2017/9/23 13:09
LFB7201709230010,1PQ1733001573,32001600,2017/9/23 13:09
LFB7201709230010,1PQ1733001585,32001597,2017/9/23 13:09
LFB7201709230010,1PQ1733001596,32001590,2017/9/23 13:09
LFB7201709230010,1PQ1733001632,32001598,2017/9/23 13:09
LFB7201709230010,1PQ1733001637,32001623,2017/9/23 13:09
LFB7201709230011,1PQ1733000377,32001837,2017/9/23 13:19
LFB7201709230011,1PQ1733000382,32002365,2017/9/23 13:19
LFB7201709230011,1PQ1733000421,32000413,2017/9/23 13:19
LFB7201709230011,1PQ1733000802,32001621,2017/9/23 13:19
LFB7201709230011,1PQ1733000808,32002222,2017/9/23 13:19
LFB7201709230011,1PQ1733000929,32001649,2017/9/23 13:19
LFB7201709230011,1PQ1733001084,32001645,2017/9/23 13:19
LFB7201709230011,1PQ1733001141,32001615,2017/9/23 13:19
LFB7201709230011,1PQ1733001148,32001658,2017/9/23 13:19
LFB7201709230011,1PQ1733001160,32001655,2017/9/23 13:19
LFB7201709230011,1PQ1733001175,32001646,2017/9/23 13:19
LFB7201709230011,1PQ1733001252,32001676,2017/9/23 13:19
LFB7201709230011,1PQ1733001292,32002237,2017/9/23 13:19
LFB7201709230011,1PQ1733001570,32001656,2017/9/23 13:19
LFB7201709230011,1PQ1733001601,32002242,2017/9/23 13:19
LFB7201709230011,1PQ1733001610,32001583,2017/9/23 13:19
LFB7201709230011,1PQ1733001745,32001647,2017/9/23 13:19
LFB7201709230011,1PQ1733001844,32001482,2017/9/23 13:19
LFB7201709230012,1PQ1733000044,32001451,2017/9/23 13:31
LFB7201709230012,1PQ1733000067,32000417,2017/9/23 13:31
LFB7201709230012,1PQ1733000313,32002173,2017/9/23 13:31
LFB7201709230012,1PQ1733000524,32000407,2017/9/23 13:31
LFB7201709230012,1PQ1733000623,32000878,2017/9/23 13:31
LFB7201709230012,1PQ1733000842,32001563,2017/9/23 13:31
LFB7201709230012,1PQ1733000868,32001650,2017/9/23 13:31
LFB7201709230012,1PQ1733001052,32001679,2017/9/23 13:31
LFB7201709230012,1PQ1733001124,32001577,2017/9/23 13:31
LFB7201709230012,1PQ1733001271,32001675,2017/9/23 13:31
LFB7201709230012,1PQ1733001279,32000966,2017/9/23 13:31
LFB7201709230012,1PQ1733001436,32002184,2017/9/23 13:31
LFB7201709230012,1PQ1733001619,32001680,2017/9/23 13:31
LFB7201709230012,1PQ1733001709,32002183,2017/9/23 13:31
LFB7201709230012,1PQ1733001786,32002254,2017/9/23 13:31
LFB7201709230012,1PQ1733001794,32001599,2017/9/23 13:31
LFB7201709230012,1PQ1733001917,32002181,2017/9/23 13:31
LFB7201709230012,1PQ1733002182,32002155,2017/9/23 13:31
LFB7201709230013,1PQ1733000051,32000903,2017/9/23 13:40
LFB7201709230013,1PQ1733000342,32001830,2017/9/23 13:40
LFB7201709230013,1PQ1733000423,32000905,2017/9/23 13:40
LFB7201709230013,1PQ1733000801,32001573,2017/9/23 13:40
LFB7201709230013,1PQ1733000877,32000961,2017/9/23 13:40
LFB7201709230013,1PQ1733001029,32002247,2017/9/23 13:40
LFB7201709230013,1PQ1733001050,32000967,2017/9/23 13:40
LFB7201709230013,1PQ1733001092,32001567,2017/9/23 13:40
